Date의 연도,Missile Name,Missile Family,Launches
2007,Pukguksong-2,,
2006,Pukguksong-2,,
2005,Pukguksong-2,,
2004,Pukguksong-2,,
2003,Pukguksong-2,,
2002,Pukguksong-2,,
2001,Pukguksong-2,,
2000,Pukguksong-2,,
1999,Pukguksong-2,,
1998,Pukguksong-2,,
1997,Pukguksong-2,,
1996,Pukguksong-2,,
1995,Pukguksong-2,,
1994,Pukguksong-2,,
1993,Pukguksong-2,,
1992,Pukguksong-2,,
1991,Pukguksong-2,,
1990,Pukguksong-2,,
1989,Pukguksong-2,,
1988,Pukguksong-2,,
1987,Pukguksong-2,,
1986,Pukguksong-2,,
1985,Pukguksong-2,,
1984,Pukguksong-2,,
2024,Pukguksong-1,,
2023,Pukguksong-1,,
2022,Pukguksong-1,,
2021,Pukguksong-1,,
2020,Pukguksong-1,,
2019,Pukguksong-1,,
2018,Pukguksong-1,,
2017,Pukguksong-1,,
2016,Pukguksong-1,Sub-Launched Ballistic Missile,3
2015,Pukguksong-1,Sub-Launched Ballistic Missile,3
2014,Pukguksong-1,,
2013,Pukguksong-1,,
2012,Pukguksong-1,,
2011,Pukguksong-1,,
2010,Pukguksong-1,,
2009,Pukguksong-1,,
2008,Pukguksong-1,,
2007,Pukguksong-1,,
2006,Pukguksong-1,,
2005,Pukguksong-1,,
2004,Pukguksong-1,,
2003,Pukguksong-1,,
2002,Pukguksong-1,,
2001,Pukguksong-1,,
2000,Pukguksong-1,,
1999,Pukguksong-1,,
1998,Pukguksong-1,,
1997,Pukguksong-1,,
1996,Pukguksong-1,,
1995,Pukguksong-1,,
1994,Pukguksong-1,,
1993,Pukguksong-1,,
1992,Pukguksong-1,,
1991,Pukguksong-1,,
1990,Pukguksong-1,,
1989,Pukguksong-1,,
1988,Pukguksong-1,,
1987,Pukguksong-1,,
1986,Pukguksong-1,,
1985,Pukguksong-1,,
1984,Pukguksong-1,,
2024,Nodong,,
2023,Nodong,,
2022,Nodong,,
2021,Nodong,,
2020,Nodong,,
2019,Nodong,,
2018,Nodong,,
2017,Nodong,,
2016,Nodong,Medium Range Ballistic Missile,5
2015,Nodong,,
2014,Nodong,Medium Range Ballistic Missile,2
2013,Nodong,,
2012,Nodong,,
2011,Nodong,,
2010,Nodong,,
2009,Nodong,Medium Range Ballistic Missile,2
2008,Nodong,,
2007,Nodong,,
2006,Nodong,Medium Range Ballistic Missile,4
2005,Nodong,,
2004,Nodong,,
2003,Nodong,,
2002,Nodong,,
2001,Nodong,,
2000,Nodong,,
1999,Nodong,,
1998,Nodong,,
1997,Nodong,,
1996,Nodong,,
1995,Nodong,,
1994,Nodong,,
1993,Nodong,Medium Range Ballistic Missile,1
1992,Nodong,Medium Range Ballistic Missile,1
1991,Nodong,,
1990,Nodong,Medium Range Ballistic Missile,1
1989,Nodong,,
1988,Nodong,,
1987,Nodong,,
1986,Nodong,,
1985,Nodong,,
1984,Nodong,,
2024,New IRBM (2022),,
2023,New IRBM (2022),,
2022,New IRBM (2022),Intermediate Range Ballistic Missile,1
2021,New IRBM (2022),,
2020,New IRBM (2022),,
2019,New IRBM (2022),,
2018,New IRBM (2022),,
2017,New IRBM (2022),,
2016,New IRBM (2022),,
2015,New IRBM (2022),,
2014,New IRBM (2022),,
2013,New IRBM (2022),,
2012,New IRBM (2022),,
2011,New IRBM (2022),,
2010,New IRBM (2022),,
2009,New IRBM (2022),,
2008,New IRBM (2022),,
2007,New IRBM (2022),,
2006,New IRBM (2022),,
2005,New IRBM (2022),,
2004,New IRBM (2022),,
2003,New IRBM (2022),,
2002,New IRBM (2022),,
2001,New IRBM (2022),,
2000,New IRBM (2022),,
1999,New IRBM (2022),,
1998,New IRBM (2022),,
1997,New IRBM (2022),,
1996,New IRBM (2022),,
1995,New IRBM (2022),,
1994,New IRBM (2022),,
1993,New IRBM (2022),,
1992,New IRBM (2022),,
1991,New IRBM (2022),,
1990,New IRBM (2022),,
1989,New IRBM (2022),,
1988,New IRBM (2022),,
1987,New IRBM (2022),,
1986,New IRBM (2022),,
1985,New IRBM (2022),,
1984,New IRBM (2022),,
2024,Musudan,,
2023,Musudan,,
2022,Musudan,,
2021,Musudan,,
2020,Musudan,,
2019,Musudan,,
2018,Musudan,,
2017,Musudan,,
2016,Musudan,Intermediate Range Ballistic Missile,8
2015,Musudan,,
2014,Musudan,,
2013,Musudan,,
2012,Musudan,,
2011,Musudan,,
2010,Musudan,,
2009,Musudan,,
2008,Musudan,,
2007,Musudan,,
2006,Musudan,,
2005,Musudan,,
2004,Musudan,,
2003,Musudan,,
2002,Musudan,,
2001,Musudan,,
2000,Musudan,,
1999,Musudan,,
1998,Musudan,,
1997,Musudan,,
1996,Musudan,,
1995,Musudan,,
1994,Musudan,,
1993,Musudan,,
1992,Musudan,,
1991,Musudan,,
1990,Musudan,,
1989,Musudan,,
1988,Musudan,,
1987,Musudan,,
1986,Musudan,,
1985,Musudan,,
1984,Musudan,,
2024,KN-25,Short Range Ballistic Missile,31
2023,KN-25,Short Range Ballistic Missile,2
2022,KN-25,Short Range Ballistic Missile,8
2021,KN-25,,
2020,KN-25,Short Range Ballistic Missile,7
2019,KN-25,Short Range Ballistic Missile,11
2018,KN-25,,
2017,KN-25,,
2016,KN-25,,
2015,KN-25,,
2014,KN-25,,
2013,KN-25,,
2012,KN-25,,
2011,KN-25,,
2010,KN-25,,
2009,KN-25,,
2008,KN-25,,
2007,KN-25,,
2006,KN-25,,
2005,KN-25,,
2004,KN-25,,
2003,KN-25,,
2002,KN-25,,
2001,KN-25,,
2000,KN-25,,
1999,KN-25,,
1998,KN-25,,
1997,KN-25,,
1996,KN-25,,
1995,KN-25,,
1994,KN-25,,
1993,KN-25,,
1992,KN-25,,
1991,KN-25,,
1990,KN-25,,
1989,KN-25,,
1988,KN-25,,
1987,KN-25,,
1986,KN-25,,
1985,KN-25,,
1984,KN-25,,
2024,KN-23,,
2023,KN-23,,
2022,KN-23,Short Range Ballistic Missile,1
2021,KN-23,,
2020,KN-23,,
2019,KN-23,,
2018,KN-23,,
2017,KN-23,,
2016,KN-23,,
2015,KN-23,,
2014,KN-23,,
2013,KN-23,,
2012,KN-23,,
2011,KN-23,,
2010,KN-23,,
2009,KN-23,,
2008,KN-23,,
2007,KN-23,,
2006,KN-23,,
2005,KN-23,,
2004,KN-23,,
2003,KN-23,,
2002,KN-23,,
2001,KN-23,,
2000,KN-23,,
1999,KN-23,,
1998,KN-23,,
1997,KN-23,,
1996,KN-23,,
1995,KN-23,,
1994,KN-23,,
1993,KN-23,,
1992,KN-23,,
1991,KN-23,,
1990,KN-23,,
1989,KN-23,,
1988,KN-23,,
1987,KN-23,,
1986,KN-23,,
1985,KN-23,,
1984,KN-23,,
2024,KN-02,,
2023,KN-02,,
2022,KN-02,,
2021,KN-02,,
2020,KN-02,,
2019,KN-02,,
2018,KN-02,,
2017,KN-02,,
2016,KN-02,,
2015,KN-02,Short Range Ballistic Missile,10
2014,KN-02,Short Range Ballistic Missile,4
2013,KN-02,Short Range Ballistic Missile,6
2012,KN-02,,
2011,KN-02,,
2010,KN-02,,
2009,KN-02,,
2008,KN-02,,
2007,KN-02,,
2006,KN-02,,
2005,KN-02,,
2004,KN-02,,
2003,KN-02,,
2002,KN-02,,
2001,KN-02,,
2000,KN-02,,
1999,KN-02,,
1998,KN-02,,
1997,KN-02,,
1996,KN-02,,
1995,KN-02,,
1994,KN-02,,
1993,KN-02,,
1992,KN-02,,
1991,KN-02,,
1990,KN-02,,
1989,KN-02,,
1988,KN-02,,
1987,KN-02,,
1986,KN-02,,
1985,KN-02,,
1984,KN-02,,
2024,Hwasong-19,ICBM,1
2023,Hwasong-19,,
2022,Hwasong-19,,
2021,Hwasong-19,,
2020,Hwasong-19,,
2019,Hwasong-19,,
2018,Hwasong-19,,
2017,Hwasong-19,,
2016,Hwasong-19,,
2015,Hwasong-19,,
2014,Hwasong-19,,
2013,Hwasong-19,,
2012,Hwasong-19,,
2011,Hwasong-19,,
2010,Hwasong-19,,
2009,Hwasong-19,,
2008,Hwasong-19,,
2007,Hwasong-19,,
2006,Hwasong-19,,
2005,Hwasong-19,,
2004,Hwasong-19,,
2003,Hwasong-19,,
2002,Hwasong-19,,
2001,Hwasong-19,,
2000,Hwasong-19,,
1999,Hwasong-19,,
1998,Hwasong-19,,
1997,Hwasong-19,,
1996,Hwasong-19,,
1995,Hwasong-19,,
1994,Hwasong-19,,
1993,Hwasong-19,,
1992,Hwasong-19,,
1991,Hwasong-19,,
1990,Hwasong-19,,
1989,Hwasong-19,,
1988,Hwasong-19,,
1987,Hwasong-19,,
1986,Hwasong-19,,
1985,Hwasong-19,,
1984,Hwasong-19,,
2024,Hwasong-18,,
